seq,send_timestamp,send_size,recv_timestamp,recv_size,rtt
0.0,1609951085.7647345,122.0,,,inf
1.0,1609951085.7882526,122.0,,,inf
2.0,1609951085.8145092,122.0,,,inf
3.0,1609951085.8307993,122.0,,,inf
4.0,1609951085.84068,122.0,,,inf
5.0,1609951085.8517644,122.0,,,inf
6.0,1609951085.8702178,122.0,,,inf
7.0,1609951085.8792067,122.0,,,inf
8.0,1609951085.8890224,122.0,,,inf
9.0,1609951085.8987625,122.0,,,inf
10.0,1609951085.9087665,122.0,,,inf
11.0,1609951085.918216,122.0,,,inf
12.0,1609951085.9288383,122.0,,,inf
13.0,1609951085.9383268,122.0,,,inf
14.0,1609951085.949056,122.0,,,inf
15.0,1609951085.958898,122.0,,,inf
16.0,1609951085.9683683,122.0,,,inf
17.0,1609951085.9790344,122.0,,,inf
18.0,1609951085.988708,122.0,,,inf
19.0,1609951085.9983916,122.0,,,inf
20.0,1609951086.0091226,122.0,,,inf
21.0,1609951086.0185459,122.0,,,inf
22.0,1609951086.0291722,122.0,,,inf
23.0,1609951086.038886,122.0,,,inf
24.0,1609951086.0485508,122.0,,,inf
25.0,1609951086.059227,122.0,,,inf
26.0,1609951086.068656,122.0,,,inf
27.0,1609951086.0792181,122.0,,,inf
28.0,1609951086.0889437,122.0,,,inf
29.0,1609951086.098648,122.0,,,inf
30.0,1609951086.1092682,122.0,,,inf
31.0,1609951086.1187344,122.0,,,inf
32.0,1609951086.1293151,122.0,,,inf
33.0,1609951086.1391046,122.0,,,inf
34.0,1609951086.1487026,122.0,,,inf
35.0,1609951086.159334,122.0,,,inf
36.0,1609951086.1687598,122.0,,,inf
37.0,1609951086.1785588,122.0,,,inf
38.0,1609951086.1893861,122.0,,,inf
39.0,1609951086.1991656,122.0,,,inf
40.0,1609951086.2090259,122.0,,,inf
41.0,1609951086.2184906,122.0,,,inf
42.0,1609951086.2290833,122.0,,,inf
43.0,1609951086.2388208,122.0,,,inf
44.0,1609951086.2484918,122.0,,,inf
45.0,1609951086.2591681,122.0,,,inf
46.0,1609951086.2686176,122.0,,,inf
47.0,1609951086.279219,122.0,,,inf
48.0,1609951086.288919,122.0,,,inf
49.0,1609951086.2986128,122.0,,,inf
50.0,1609951086.309242,122.0,,,inf
51.0,1609951086.3186963,122.0,,,inf
52.0,1609951086.3292716,122.0,,,inf
53.0,1609951086.33903,122.0,,,inf
54.0,1609951086.3487244,122.0,,,inf
55.0,1609951086.3593216,122.0,,,inf
56.0,1609951086.3687413,122.0,,,inf
57.0,1609951086.3793163,122.0,,,inf
58.0,1609951086.38914,122.0,,,inf
59.0,1609951086.3987856,122.0,,,inf
60.0,1609951086.409417,122.0,,,inf
61.0,1609951086.4187863,122.0,,,inf
62.0,1609951086.4293988,122.0,,,inf
63.0,1609951086.4391274,122.0,,,inf
64.0,1609951086.4487727,122.0,,,inf
65.0,1609951086.4593666,122.0,,,inf
66.0,1609951086.4687774,122.0,,,inf
67.0,1609951086.4793522,122.0,,,inf
68.0,1609951086.489037,122.0,,,inf
69.0,1609951086.4986765,122.0,,,inf
70.0,1609951086.509299,122.0,,,inf
71.0,1609951086.5187137,122.0,,,inf
