timestamp,sens_position_raw,sens_position_proc,sens_speed_raw,sens_speed_proc,sens_angle_raw,sens_angle_proc,sens_ang_vel_raw,sens_ang_vel_proc,act_force_raw,act_force_proc
1603319486.1296887,0.0,0.0,-1.935048558254358e-08,-1.935048558254358e-08,0.0,0.0,2.488611240056622e-06,2.488611240056622e-06,,
1603319486.1356728,0.0,,-1.935048558254358e-08,,0.0,,2.488611240056622e-06,,-11.450072802373398,-11.450072802373398
1603319486.1546216,-2.9025728373815373e-11,-2.9025728373815373e-11,-0.0679030165464683,-0.0679030165464683,3.732916860084933e-09,3.732916860084933e-09,-0.11162139412441346,-0.11162139412441346,,
1603319486.1705792,-0.00021728968197442695,,-0.13538823541711695,,-0.000357184728281263,,-0.22266326236277892,,-10.67695498354599,-10.67695498354599
1603319486.185539,-0.00021728968197442695,-0.00021728968197442695,-0.13538823541711695,-0.13538823541711695,-0.000357184728281263,-0.000357184728281263,-0.22266326236277892,-0.22266326236277892,,
1603319486.2004993,-0.00042037203510010237,,-0.19671184413161885,,-0.0006911796218254314,,-0.32296185438339764,,-9.87569651690594,-9.87569651690594
1603319486.215459,-0.0007351109857106925,-0.0007351109857106925,-0.22777426369265788,-0.22777426369265788,-0.0012079185888388675,-0.0012079185888388675,-0.3744954662593949,-0.3744954662593949,,
1603319486.2314165,-0.0010995498076189453,,-0.25542718557511007,,-0.0018071113348538995,,-0.4200019713032094,,-8.753837336386955,-8.753837336386955
1603319486.2463765,-0.0014826905859816105,-0.0014826905859816105,-0.28135565937109797,-0.28135565937109797,-0.0024371142918087137,-0.0024371142918087137,-0.4626818466171681,-0.4626818466171681,,
1603319486.2613366,-0.0019328596409753673,,-0.30673893613209474,,-0.0031774052463961824,,-0.5044894275403692,,-8.037952371215471,-8.037952371215471
1603319486.2772942,-0.0023929680451735096,-0.0023929680451735096,-0.33054018049499745,-0.33054018049499745,-0.003934139387706736,-0.003934139387706736,-0.5437092152749471,-0.5437092152749471,,
1603319486.293251,-0.0029218323339655055,,-0.35373682342554147,,-0.0048040741321466515,,-0.5819640248444652,,-7.347728253994271,-7.347728253994271
1603319486.3092089,-0.003487811251446372,-0.003487811251446372,-0.37693916487045626,-0.37693916487045626,-0.005735216571897796,-0.005735216571897796,-0.6202516447904884,-0.6202516447904884,,
1603319486.3251657,-0.004053219998752056,,-0.39664781574793473,,-0.0066655940390835285,,-0.652809594187902,,-6.661049763187785,-6.661049763187785
1603319486.3401577,-0.0046878565039487514,-0.0046878565039487514,-0.4176766481365967,-0.4176766481365967,-0.007710089389784172,-0.007710089389784172,-0.6875749725042594,-0.6875749725042594,,
1603319486.3560834,-0.005356139140967307,,-0.4366773578159757,,-0.008810209345790987,,-0.7190343018800649,,-6.021730823182107,-6.021730823182107
