tick,force_value,force_target
1.0,0.0,
2.0,0.0,
3.0,-0.0001195207601847406,-0.0001195207601847406
4.0,-0.0001195207601847406,
5.0,9.707814675995373e-06,9.707814675995373e-06
6.0,9.707814675995373e-06,
7.0,-1.3165672095977874e-05,-1.3165672095977874e-05
8.0,-1.3165672095977874e-05,
9.0,1.65729546682037e-05,1.65729546682037e-05
10.0,1.65729546682037e-05,
11.0,1.544195385919923e-05,1.544195385919923e-05
12.0,1.544195385919923e-05,
13.0,3.745848060841896e-05,3.745848060841896e-05
14.0,3.745848060841896e-05,
15.0,-2.432112632157494e-06,-2.432112632157494e-06
16.0,-2.432112632157494e-06,
17.0,-1.2173934897460117e-05,-1.2173934897460117e-05
18.0,-1.2173934897460117e-05,
19.0,2.7714474820021154e-06,2.7714474820021154e-06
20.0,2.7714474820021154e-06,
21.0,-2.6096410477658214e-05,-2.6096410477658214e-05
22.0,-2.6096410477658214e-05,
23.0,7.887565416614547e-06,7.887565416614547e-06
24.0,7.887565416614547e-06,
25.0,-7.240877016865758e-07,-7.240877016865758e-07
26.0,-7.240877016865758e-07,
27.0,-7.001223604593912e-06,-7.001223604593912e-06
28.0,-7.001223604593912e-06,
29.0,7.1809684467795274e-06,7.1809684467795274e-06
30.0,7.1809684467795274e-06,
31.0,5.372519366497677e-06,5.372519366497677e-06
32.0,5.372519366497677e-06,
33.0,5.328982681374706e-06,5.328982681374706e-06
34.0,5.328982681374706e-06,
35.0,6.3808960471793464e-06,6.3808960471793464e-06
36.0,6.3808960471793464e-06,
37.0,-1.9972460945066063e-05,-1.9972460945066063e-05
38.0,-1.9972460945066063e-05,
39.0,-3.5814618190730315e-05,-3.5814618190730315e-05
40.0,-3.5814618190730315e-05,
41.0,1.648011674458519e-05,1.648011674458519e-05
42.0,1.648011674458519e-05,
43.0,-1.2278624966513499e-05,-1.2278624966513499e-05
44.0,-1.2278624966513499e-05,
45.0,1.8397161841017572e-06,1.8397161841017572e-06
46.0,1.8397161841017572e-06,
47.0,1.1789860275125704e-06,1.1789860275125704e-06
48.0,1.1789860275125704e-06,
