seq,send_timestamp,send_size,recv_timestamp,recv_size,rtt
0.0,1605734323.9944375,122.0,1605734323.9972239,72.0,0.002786397933959961
1.0,1605734324.0032673,122.0,1605734324.0041752,72.0,0.00090789794921875
2.0,1605734324.0122967,122.0,1605734324.0129547,72.0,0.0006580352783203125
3.0,1605734324.0213733,122.0,1605734324.022228,72.0,0.0008547306060791016
4.0,1605734324.030299,122.0,1605734324.0310245,72.0,0.0007255077362060547
5.0,1605734324.0393622,122.0,1605734324.0401406,72.0,0.0007784366607666016
6.0,1605734324.0483875,122.0,1605734324.0491183,72.0,0.0007307529449462891
7.0,1605734324.0572894,122.0,1605734324.057987,72.0,0.0006976127624511719
8.0,1605734324.0663688,122.0,1605734324.0670831,72.0,0.0007143020629882812
9.0,1605734324.0752711,122.0,1605734324.0758138,72.0,0.0005426406860351562
10.0,1605734324.0842957,122.0,1605734324.0851982,72.0,0.0009024143218994141
11.0,1605734324.0932424,122.0,1605734324.0940313,72.0,0.0007889270782470703
12.0,1605734324.1023073,122.0,1605734324.103138,72.0,0.0008306503295898438
13.0,1605734324.1113067,122.0,1605734324.11211,72.0,0.0008032321929931641
14.0,1605734324.1202164,122.0,1605734324.1207922,72.0,0.0005757808685302734
15.0,1605734324.1292722,122.0,1605734324.1301212,72.0,0.0008490085601806641
16.0,1605734324.1386547,122.0,1605734324.1398463,72.0,0.0011916160583496094
17.0,1605734324.1479225,122.0,1605734324.1490872,72.0,0.0011646747589111328
18.0,1605734324.1565578,122.0,1605734324.157464,72.0,0.0009062290191650391
19.0,1605734324.1652732,122.0,1605734324.1660805,72.0,0.0008072853088378906
20.0,1605734324.1745253,122.0,1605734324.1753595,72.0,0.0008342266082763672
21.0,1605734324.183444,122.0,1605734324.1843786,72.0,0.000934600830078125
22.0,1605734324.19245,122.0,1605734324.193502,72.0,0.0010519027709960938
23.0,1605734324.2014723,122.0,1605734324.2021897,72.0,0.0007174015045166016
24.0,1605734324.2105117,122.0,1605734324.211282,72.0,0.0007703304290771484
25.0,1605734324.2194302,122.0,1605734324.2202709,72.0,0.0008406639099121094
26.0,1605734324.228365,122.0,1605734324.228987,72.0,0.0006220340728759766
27.0,1605734324.237555,122.0,1605734324.2388523,72.0,0.0012972354888916016
28.0,1605734324.2464213,122.0,1605734324.2472615,72.0,0.0008401870727539062
29.0,1605734324.2554727,122.0,1605734324.256332,72.0,0.0008592605590820312
30.0,1605734324.2643974,122.0,1605734324.2651103,72.0,0.0007128715515136719
31.0,1605734324.2734325,122.0,1605734324.2742066,72.0,0.0007741451263427734
32.0,1605734324.2822745,122.0,1605734324.282957,72.0,0.0006825923919677734
33.0,1605734324.2915885,122.0,1605734324.2923691,72.0,0.0007805824279785156
34.0,1605734324.3004434,122.0,1605734324.301153,72.0,0.00070953369140625
35.0,1605734324.3095634,122.0,1605734324.3102741,72.0,0.0007107257843017578
36.0,1605734324.31867,122.0,1605734324.3193984,72.0,0.0007283687591552734
37.0,1605734324.3274775,122.0,1605734324.328192,72.0,0.0007145404815673828
38.0,1605734324.3393471,122.0,1605734324.342286,72.0,0.002938985824584961
39.0,1605734324.3573933,122.0,1605734324.3604121,72.0,0.0030188560485839844
40.0,1605734324.374759,122.0,1605734324.3769732,72.0,0.002214193344116211
41.0,1605734324.3869116,122.0,1605734324.3881922,72.0,0.0012805461883544922
42.0,1605734324.3955584,122.0,1605734324.39671,72.0,0.0011515617370605469
43.0,1605734324.404381,122.0,1605734324.4053695,72.0,0.0009884834289550781
44.0,1605734324.4134288,122.0,1605734324.4144218,72.0,0.0009930133819580078
45.0,1605734324.4225533,122.0,1605734324.4235797,72.0,0.0010263919830322266
46.0,1605734324.4314132,122.0,1605734324.4323683,72.0,0.0009551048278808594
47.0,1605734324.4403772,122.0,1605734324.4414392,72.0,0.0010619163513183594
48.0,1605734324.449114,122.0,1605734324.4499269,72.0,0.0008127689361572266
49.0,1605734324.4581513,122.0,1605734324.4590166,72.0,0.0008652210235595703
50.0,1605734324.4670784,122.0,1605734324.4678912,72.0,0.0008127689361572266
51.0,1605734324.47608,122.0,1605734324.476981,72.0,0.0009009838104248047
52.0,1605734324.4853883,122.0,1605734324.4862747,72.0,0.0008864402770996094
53.0,1605734324.4940815,122.0,1605734324.4950066,72.0,0.0009250640869140625
54.0,1605734324.503185,122.0,1605734324.5038385,72.0,0.0006535053253173828
55.0,1605734324.5118978,122.0,1605734324.5125208,72.0,0.0006229877471923828
56.0,1605734324.521131,122.0,1605734324.5217853,72.0,0.0006542205810546875
57.0,1605734324.5372212,122.0,1605734324.5397885,72.0,0.002567291259765625
58.0,1605734324.5477688,122.0,1605734324.5484514,72.0,0.0006825923919677734
59.0,1605734324.5567062,122.0,1605734324.5572186,72.0,0.0005123615264892578
60.0,1605734324.566108,122.0,1605734324.5668223,72.0,0.0007143020629882812
61.0,1605734324.5750837,122.0,1605734324.575714,72.0,0.0006303787231445312
62.0,1605734324.591257,122.0,1605734324.5936902,72.0,0.0024330615997314453
63.0,1605734324.6092389,122.0,1605734324.6116605,72.0,0.0024216175079345703
64.0,1605734324.6277893,122.0,1605734324.6301978,72.0,0.0024085044860839844
65.0,1605734324.638989,122.0,1605734324.6402574,72.0,0.0012683868408203125
66.0,1605734324.6474729,122.0,1605734324.648618,72.0,0.0011451244354248047
67.0,1605734324.6561117,122.0,1605734324.656922,72.0,0.0008103847503662109
68.0,1605734324.665139,122.0,1605734324.6660507,72.0,0.000911712646484375
69.0,1605734324.6738915,122.0,1605734324.674539,72.0,0.0006475448608398438
70.0,1605734324.6828728,122.0,1605734324.6835864,72.0,0.0007135868072509766
71.0,1605734324.6922133,122.0,1605734324.6929457,72.0,0.000732421875
72.0,1605734324.7011304,122.0,1605734324.7018054,72.0,0.0006749629974365234
73.0,1605734324.7099895,122.0,1605734324.7106748,72.0,0.0006852149963378906
74.0,1605734324.7191837,122.0,1605734324.7198653,72.0,0.0006816387176513672
75.0,1605734324.7280715,122.0,1605734324.7287698,72.0,0.0006983280181884766
76.0,1605734324.7369397,122.0,1605734324.7376156,72.0,0.0006759166717529297
77.0,1605734324.7462833,122.0,1605734324.7470615,72.0,0.0007781982421875
78.0,1605734324.7551632,122.0,1605734324.7558718,72.0,0.0007085800170898438
79.0,1605734324.7641034,122.0,1605734324.764951,72.0,0.0008475780487060547
80.0,1605734324.773151,122.0,1605734324.7739527,72.0,0.0008018016815185547
81.0,1605734324.7818851,122.0,1605734324.7826684,72.0,0.0007832050323486328
82.0,1605734324.791071,122.0,1605734324.7918649,72.0,0.0007939338684082031
83.0,1605734324.7999053,122.0,1605734324.8006883,72.0,0.0007829666137695312
84.0,1605734324.809415,122.0,1605734324.8102703,72.0,0.0008552074432373047
85.0,1605734324.8204563,122.0,1605734324.8231757,72.0,0.002719402313232422
86.0,1605734324.838741,122.0,1605734324.8415754,72.0,0.002834320068359375
87.0,1605734324.8509154,122.0,1605734324.8524463,72.0,0.0015308856964111328
88.0,1605734324.8593118,122.0,1605734324.8606215,72.0,0.0013096332550048828
89.0,1605734324.867932,122.0,1605734324.8689435,72.0,0.0010113716125488281
90.0,1605734324.8779402,122.0,1605734324.8800793,72.0,0.0021390914916992188
91.0,1605734324.8862205,122.0,1605734324.8873577,72.0,0.0011372566223144531
92.0,1605734324.8950694,122.0,1605734324.896182,72.0,0.0011126995086669922
93.0,1605734324.90366,122.0,1605734324.9045808,72.0,0.0009207725524902344
94.0,1605734324.9126124,122.0,1605734324.9134507,72.0,0.0008382797241210938
95.0,1605734324.9235437,122.0,1605734324.9260828,72.0,0.0025391578674316406
96.0,1605734324.9358237,122.0,1605734324.9371617,72.0,0.0013380050659179688
97.0,1605734324.9443107,122.0,1605734324.9454548,72.0,0.0011441707611083984
98.0,1605734324.9555829,122.0,1605734324.9577131,72.0,0.002130270004272461
