tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
1.0,0.0,0.0,0.0,0.0,,,,
2.0,0.0,-3.176798555956284e-08,0.0,4.085590803403933e-06,0.0,-3.176798555956284e-08,0.0,4.085590803403933e-06
3.0,-1.5325222504516745e-10,-4.980776974348886e-08,1.970933536442788e-08,-1.1392758769695664e-07,,,,
4.0,-4.0598715894363724e-10,-4.6996622930773676e-07,1.9131243201416175e-08,-1.0020094161181585e-06,-4.0598715894363724e-10,-4.6996622930773676e-07,1.9131243201416175e-08,-1.0020094161181585e-06
5.0,-2.7219497192383467e-09,-2.582030088356561e-07,1.419340693132779e-08,-5.036829007753731e-07,,,,
6.0,-4.017226920408401e-09,2.4690974641572627e-07,1.166667813395428e-08,7.07597294814199e-07,-4.017226920408401e-09,2.4690974641572627e-07,1.166667813395428e-08,7.07597294814199e-07
7.0,-2.8837704458316346e-09,-3.2613417244165724e-07,1.491495304753248e-08,-7.520548437653307e-07,,,,
8.0,-4.822317837177706e-09,-5.94762989948684e-07,1.0444725519347699e-08,-1.368285997132742e-06,-4.822317837177706e-09,-5.94762989948684e-07,1.0444725519347699e-08,-1.368285997132742e-06
9.0,-7.820431828911837e-09,-4.400760271530279e-07,3.5473942091874895e-09,2.0176670553135642e-07,,,,
10.0,-1.0089908301677415e-08,-2.7185590815383366e-07,4.58790712726927e-09,-9.118036353937144e-07,-1.0089908301677415e-08,-2.7185590815383366e-07,4.58790712726927e-09,-9.118036353937144e-07
11.0,-1.1169229812646861e-08,-3.976598799249666e-07,9.678670694909624e-10,-9.168224842011824e-07,,,,
12.0,-1.3167033681135751e-08,-3.102963726047186e-07,-3.6381583258803845e-09,-1.692247686386111e-06,-1.3167033681135751e-08,-3.102963726047186e-07,-3.6381583258803845e-09,-1.692247686386111e-06
13.0,-1.4718116503044867e-08,4.503451626012447e-08,-1.2097220527399092e-08,1.0986261108497447e-06,,,,
14.0,-1.4491259856016917e-08,7.034206566212255e-08,-6.563006849935664e-09,1.700780036193282e-07,-1.4491259856016917e-08,7.034206566212255e-08,-6.563006849935664e-09,1.700780036193282e-07
15.0,-1.4094720669927227e-08,6.886626622325267e-10,-5.604226460247965e-09,2.4762601846253786e-08,,,,
16.0,-1.409135430915931e-08,-2.6087692488793216e-08,-5.483180473673755e-09,3.8207461576716615e-07,-1.409135430915931e-08,-2.6087692488793216e-08,-5.483180473673755e-09,3.8207461576716615e-07
17.0,-1.4218095545561715e-08,-1.4481398854936969e-07,-3.6269561555932485e-09,-6.849448635443975e-07,,,,
18.0,-1.4865782626010996e-08,-1.1419963297339305e-07,-6.6904028804692864e-09,-2.4058822406265654e-07,-1.4865782626010996e-08,-1.1419963297339305e-07,-6.6904028804692864e-09,-2.4058822406265654e-07
19.0,-1.553512106398439e-08,-3.951937910369448e-08,-8.100520775737924e-09,-5.039526773763419e-07,,,,
20.0,-1.572705894249888e-08,-2.2597807636443394e-08,-1.0548120155108433e-08,8.844609658047708e-07,-1.572705894249888e-08,-2.2597807636443394e-08,-1.0548120155108433e-08,8.844609658047708e-07
21.0,-1.5834976580693904e-08,-2.7207528978908017e-07,-6.32430605592954e-09,-9.54394847014377e-07,,,,
22.0,-1.7174687278883384e-08,-2.806902651082455e-07,-1.1023788275844798e-08,-6.12283160642888e-07,-1.7174687278883384e-08,-2.806902651082455e-07,-1.1023788275844798e-08,-6.12283160642888e-07
23.0,-1.8553052473317495e-08,-1.653963830943922e-07,-1.4030482496048001e-08,-5.481720308757174e-07,,,,
24.0,-1.9390555087320023e-08,5.236809307477121e-08,-1.6806211325132978e-08,1.2083702138503503e-07,-1.9390555087320023e-08,5.236809307477121e-08,-1.6806211325132978e-08,1.2083702138503503e-07
25.0,-1.9107419346358662e-08,5.315618234559325e-08,-1.6152888326784232e-08,2.007352088758046e-07,,,,
26.0,-1.8839332147341193e-08,4.4602122183248455e-08,-1.514050298387477e-08,3.2205983115113194e-07,-1.8839332147341193e-08,4.4602122183248455e-08,-1.514050298387477e-08,3.2205983115113194e-07
27.0,-1.8623017608414584e-08,-2.3634539834708116e-08,-1.3578554348426113e-08,-1.7769095236339493e-07,,,,
