tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
1.0,0.0,0.0,0.0,0.0,,,,
2.0,0.0,-2.2843067210462925e-08,0.0,2.937782288444982e-06,0.0,-2.2843067210462925e-08,0.0,2.937782288444982e-06
3.0,-1.1462950370487968e-10,-0.010571367162665279,1.4742176373021733e-08,-0.017377568613873,,,,
4.0,-5.281618725063459e-05,-0.020913647993435706,-8.680609298773261e-05,-0.03438449146260403,-5.281618725063459e-05,-0.020913647993435706,-8.680609298773261e-05,-0.03438449146260403
5.0,-0.0001568151158902588,-0.01617563408089659,-0.0002577925356710717,-0.02661772969756628,,,,
6.0,-0.00023715824484598234,-0.011445751176058658,-0.00039000074951325966,-0.0188737959794864,-0.00023715824484598234,-0.011445751176058658,-0.00039000074951325966,-0.0188737959794864
7.0,-0.0002961866963045013,-0.020390678291571537,-0.0004873373884700346,-0.033618261889645895,,,,
8.0,-0.00039632864107676464,-0.028911940440392133,-0.0006524421523897313,-0.047677276516619425,-0.00039632864107676464,-0.028911940440392133,-0.0006524421523897313,-0.047677276516619425
9.0,-0.0005378117658713964,-0.018957297983111764,-0.0008857551006221863,-0.03138364616252016,,,,
10.0,-0.0006347171698578456,-0.008561968724470967,-0.001046181175722979,-0.014381423242396878,-0.0006347171698578456,-0.008561968724470967,-0.001046181175722979,-0.014381423242396878
11.0,-0.0006764490873038679,-0.013624707656680779,-0.0011162777138933044,-0.022791198090068923,,,,
12.0,-0.0007442834684153889,-0.01879833215446664,-0.0012297500067444337,-0.03139476681296733,-0.0007442834684153889,-0.01879833215446664,-0.0012297500067444337,-0.03139476681296733
13.0,-0.0008388696076421202,-0.007829140642775635,-0.0013877166689122001,-0.013475437440759915,,,,
14.0,-0.0008778250627378446,0.001643761435846633,-0.0014547664029852696,0.0019797870882464885,-0.0008778250627378446,0.001643761435846633,-0.0014547664029852696,0.0019797870882464885
15.0,-0.000869611507376368,0.002221887247532484,-0.0014448737929637467,0.0028137199220752656,,,,
16.0,-0.0008585496306352137,0.0027981788342288827,-0.0014308654210282703,0.0036463583319706846,-0.0008585496306352137,0.0027981788342288827,-0.0014308654210282703,0.0036463583319706846
17.0,-0.0008444643958650816,0.0035630904759492207,-0.0014125106923977867,0.004789169331247223,,,,
18.0,-0.0008267015311377207,0.0043210965050774755,-0.0013886355290917787,0.0059237481325222175,-0.0008267015311377207,0.0043210965050774755,-0.0013886355290917787,0.0059237481325222175
19.0,-0.0008049608933561366,0.0008371088169069857,-0.001358831505435475,8.642248124304332e-05,,,,
20.0,-0.0008007708539971188,-0.0012559685626537165,-0.0013583989289405213,-0.003463699254250126,-0.0008007708539971188,-0.0012559685626537165,-0.0013583989289405213,-0.003463699254250126
21.0,-0.0008070114339769971,-0.003724545340542941,-0.0013756091465089624,-0.007631800297136364,,,,
22.0,-0.0008256250541665232,-0.006208173859592053,-0.0014137494882432641,-0.011828301405125644,-0.0008256250541665232,-0.006208173859592053,-0.0014137494882432641,-0.011828301405125644
23.0,-0.0008565769541249449,-0.011394078196612678,-0.0014727214838815379,-0.020471298362811006,,,,
24.0,-0.0009139212189966799,-0.016631015489552592,-0.00157574970041022,-0.029207740232303252,-0.0009139212189966799,-0.016631015489552592,-0.00157574970041022,-0.029207740232303252
25.0,-0.0009968518941526477,-0.008052420443941265,-0.0017213943015331426,-0.015244189072084538,,,,
26.0,-0.0010374597592544184,7.620278503987624e-07,-0.001798269817129309,-0.002151611715180347,-0.0010374597592544184,7.620278503987624e-07,-0.001798269817129309,-0.002151611715180347
27.0,-0.0010374559803255409,-0.007111929255870355,-0.001808939752144405,-0.013988811129813702,,,,
28.0,-0.0010735313623781492,-0.014399331351404553,-0.001879898234409011,-0.02612178138039288,-0.0010735313623781492,-0.014399331351404553,-0.001879898234409011,-0.02612178138039288
29.0,-0.0011444505459681964,-0.012699933238278928,-0.002008552500652732,-0.02348745622412964,,,,
30.0,-0.0012082615891230758,-0.010968523114290326,-0.0021265656472257283,-0.020813652249532598,-0.0012082615891230758,-0.010968523114290326,-0.0021265656472257283,-0.020813652249532598
31.0,-0.0012627237285643828,3.530642619427782e-05,-0.0022299119245034835,-0.002903091588197975,,,,
32.0,-0.0012625431601321541,0.011385343432913201,-0.002244759269681176,0.015569091259149898,-0.0012625431601321541,0.011385343432913201,-0.002244759269681176,0.015569091259149898
33.0,-0.0012059271376052498,0.022548513938173875,-0.0021673386783177834,0.03374602508620448,,,,
34.0,-0.0010916239627141548,0.03393166288877164,-0.0019962729567414507,0.05229473868833695,-0.0010916239627141548,0.03393166288877164,-0.0019962729567414507,0.05229473868833695
35.0,-0.0009222650612644451,0.0006846069286753396,-0.0017352607120752124,-0.0024972070201554073,,,,
36.0,-0.0009186142154502138,-0.033477882254609154,-0.0017485777227786302,-0.05880499566298575,-0.0009186142154502138,-0.033477882254609154,-0.0017485777227786302,-0.05880499566298575
37.0,-0.001087514517030241,-0.02134487856135303,-0.0020452566293580046,-0.039026248245699925,,,,
38.0,-0.0011852609337396998,-0.010335045306764427,-0.0022239728451784032,-0.021092480915673246,-0.0011852609337396998,-0.010335045306764427,-0.0022239728451784032,-0.021092480915673246
39.0,-0.0012374398490432722,-0.005588245899894041,-0.002330463212910104,-0.013479332736300403,,,,
40.0,-0.001265394512685463,-0.000886337225412581,-0.0023978922809064847,-0.0059425018707641745,-0.001265394512685463,-0.000886337225412581,-0.0023978922809064847,-0.0059425018707641745
41.0,-0.0012698368579040266,8.484381303447579e-07,-0.002427676254787989,-0.004679917789460502,,,,
42.0,-0.001269832683051364,0.00014189906153451047,-0.0024507044127000176,-0.004643066085117331,-0.001269832683051364,0.00014189906153451047,-0.0024507044127000176,-0.004643066085117331
43.0,-0.0012691074895924128,0.005628903746208613,-0.002474433400883538,0.004172885187334101,,,,
44.0,-0.001240030053241352,0.011175511231873889,-0.0024528773734746987,0.013086699388092461,-0.001240030053241352,0.011175511231873889,-0.0024528773734746987,0.013086699388092461
45.0,-0.0011874042132322615,0.009863235719135223,-0.00239125168727964,0.010748006471949902,,,,
46.0,-0.0011223642812432017,0.008027407089789038,-0.0023203774194572252,0.007483123392984544,-0.0011223642812432017,0.008027407089789038,-0.0023203774194572252,0.007483123392984544
47.0,-0.0010435071761353294,0.010175520652436612,-0.002246867076536362,0.010661960464245342,,,,
48.0,-0.0009966340269211298,0.011183605956001506,-0.002197753160813848,0.012154195151009236,-0.0009966340269211298,0.011183605956001506,-0.002197753160813848,0.012154195151009236
49.0,-0.0008806853192904273,-0.012045366886848787,-0.0020717416377330827,-0.02616358206893615,,,,
50.0,-0.001003624923022258,-0.03337529353551596,-0.002338777124653127,-0.06104992960917402,-0.001003624923022258,-0.03337529353551596,-0.002338777124653127,-0.06104992960917402
51.0,-0.0013302056746728275,0.004621697276774314,-0.002936157096121,0.0001009137604192031,,,,
52.0,-0.0013065363638106373,0.025261476071262244,-0.0029356402818377196,0.03376267681891545,-0.0013065363638106373,0.025261476071262244,-0.0029356402818377196,0.03376267681891545
53.0,-0.0010758320685826947,0.050593537295162125,-0.002627297470097682,0.07482480434611989,,,,
54.0,-0.0008258848162811861,0.06479225884696588,-0.0022576404891832638,0.09817232632894234,-0.0008258848162811861,0.06479225884696588,-0.0022576404891832638,0.09817232632894234
55.0,-0.0005114808337692467,0.06825803439540384,-0.001781259962874038,0.10372966911654175,,,,
56.0,-0.00018087188379353508,0.07172673969102736,-0.001278843547111309,0.10932992873804147,-0.00018087188379353508,0.07172673969102736,-0.001278843547111309,0.10932992873804147
57.0,0.00018826454597431654,0.0554153885434703,-0.0007161850499458119,0.08245738992605786,,,,
58.0,0.0004648598735587576,0.039603483020640956,-0.00030461473747809577,0.05644099229863824,0.0004648598735587576,0.039603483020640956,-0.00030461473747809577,0.05644099229863824
59.0,0.0006633468275570544,0.03919479600089177,-2.1740611579642742e-05,0.05576703771820703,,,,
60.0,0.0008554111658544728,0.03880036910191201,0.00025153187076497525,0.05513866065814746,0.0008554111658544728,0.03880036910191201,0.00025153187076497525,0.05513866065814746
61.0,0.0010551245420961119,0.061974612308953736,0.0005353417503193949,0.09327757458481675,,,,
62.0,0.0013581447608910931,0.08399693887280957,0.0009914154554432073,0.1295570280054922,0.0013581447608910931,0.08399693887280957,0.0009914154554432073,0.1295570280054922
63.0,0.0017682221003009204,0.057535220793740766,0.0016239194735573103,0.08618563101234271,,,,
64.0,0.0020658549618975557,0.0295049523945733,0.0020697624829840843,0.04028127211952121,0.0020658549618975557,0.0295049523945733,0.0020697624829840843,0.04028127211952121
65.0,0.0022130368763231883,0.021410044462840665,0.0022707007751991033,0.02715733692512486,,,,
66.0,0.002318892161232705,0.013389376764043516,0.0024049717545322966,0.014163870413158171,0.002318892161232705,0.013389376764043516,0.0024049717545322966,0.014163870413158171
67.0,0.002397256755753464,-0.0056964689906145215,0.0024878692621110223,-0.01697535466589759,,,,
68.0,0.0023700622286353034,-0.02106166350876938,0.0024068301581392925,-0.04204738439890571,0.0023700622286353034,-0.02106166350876938,0.0024068301581392925,-0.04204738439890571
69.0,0.0022654703446392784,-0.03704896296780137,0.002198023519976285,-0.06815333299110657,,,,
70.0,0.002046728562062999,-0.048803490867165546,0.0017956375865307065,-0.0873040378147147,0.002046728562062999,-0.048803490867165546,0.0017956375865307065,-0.0873040378147147
71.0,0.0015999568585095152,-0.022614336024840365,0.0009964125104446032,-0.04410551138838209,,,,
72.0,0.0015006183445255082,-0.010050833677719332,0.0008026692161460695,-0.02339644219619045,0.0015006183445255082,-0.010050833677719332,0.0008026692161460695,-0.02339644219619045
73.0,0.0014521017944145672,-0.02340757565562443,0.0006897318522788784,-0.045303117065615135,,,,
74.0,0.0013283507872945235,-0.03804142234030499,0.0004502236501041684,-0.06931677147620507,0.0013283507872945235,-0.03804142234030499,0.0004502236501041684,-0.06931677147620507
75.0,0.0011492469396573266,-0.03770740028355815,0.00012387148676712596,-0.0687586887758955,,,,
76.0,0.0009589529996277948,-0.03735608518896303,-0.00022312569946251646,-0.06820006646546414,0.0009589529996277948,-0.03735608518896303,-0.00022312569946251646,-0.06820006646546414
77.0,0.0007711477094905102,-0.02048928859146951,-0.0005659971006047552,-0.04051889281412541,,,,
78.0,0.0006642849028225772,-0.002995545530235204,-0.0007773252094292517,-0.011827696509346189,0.0006642849028225772,-0.002995545530235204,-0.0007773252094292517,-0.011827696509346189
79.0,0.0006492020734612056,0.0007162946071075476,-0.0008368786785346107,-0.005793703910971762,,,,
80.0,0.0006527677436050575,0.0044323672534741345,-0.0008657193773932692,0.0002451227127013641,0.0006527677436050575,0.0044323672534741345,-0.0008657193773932692,0.0002451227127013641
81.0,0.0006746777239006878,0.005557770040753585,-0.0008645076921925249,0.0020263547138146603,,,,
82.0,0.0007021864736106326,0.0066848244393941025,-0.0008544780428480666,0.0038109347705363983,0.0007021864736106326,0.0066848244393941025,-0.0008544780428480666,0.0038109347705363983
83.0,0.0007347923064478314,0.0016629352483378624,-0.0008358898655207289,-0.004509868994937428,,,,
84.0,0.00074344860280331,-0.0023671976080812352,-0.000859365681902385,-0.011206877354651548,0.00074344860280331,-0.0023671976080812352,-0.000859365681902385,-0.011206877354651548
85.0,0.0007315096014243474,0.022037930053470624,-0.0009158877583586478,0.028837073288953907,,,,
86.0,0.0008394810238424448,0.04578826879071626,-0.0007746049875254162,0.06781714970739419,0.0008394810238424448,0.04578826879071626,-0.0007746049875254162,0.06781714970739419
87.0,0.0010720411978266489,0.03228510023523333,-0.00043015937838585086,0.045584944165665296,,,,
