tick,tick_dt,input_force,output_ang_vel,output_angle,output_speed,output_position
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.005089317000056326,0.0,4.085590803403933e-06,0.0,-3.176798555956284e-08,0.0
3.0,0.004824108999855525,-0.0001195207601847406,-1.1392758769695664e-07,1.970933536442788e-08,-4.980776974348886e-08,-1.5325222504516745e-10
4.0,0.00507420700023431,-0.0001195207601847406,-1.0020094161181585e-06,1.9131243201416175e-08,-4.6996622930773676e-07,-4.0598715894363724e-10
5.0,0.004927934000079404,9.707814675995373e-06,-5.036829007753731e-07,1.419340693132779e-08,-2.582030088356561e-07,-2.7219497192383467e-09
6.0,0.005016506999709236,9.707814675995373e-06,7.07597294814199e-07,1.166667813395428e-08,2.4690974641572627e-07,-4.017226920408401e-09
7.0,0.004590569999891159,-1.3165672095977874e-05,-7.520548437653307e-07,1.491495304753248e-08,-3.2613417244165724e-07,-2.8837704458316346e-09
8.0,0.005944017999809148,-1.3165672095977874e-05,-1.368285997132742e-06,1.0444725519347699e-08,-5.94762989948684e-07,-4.822317837177706e-09
9.0,0.0050408550000611285,1.65729546682037e-05,2.0176670553135642e-07,3.5473942091874895e-09,-4.400760271530279e-07,-7.820431828911837e-09
10.0,0.005157009999948059,1.65729546682037e-05,-9.118036353937144e-07,4.58790712726927e-09,-2.7185590815383366e-07,-1.0089908301677415e-08
11.0,0.003970196999944164,1.544195385919923e-05,-9.168224842011824e-07,9.678670694909624e-10,-3.976598799249666e-07,-1.1169229812646861e-08
12.0,0.005023901000186015,1.544195385919923e-05,-1.692247686386111e-06,-3.6381583258803845e-09,-3.102963726047186e-07,-1.3167033681135751e-08
13.0,0.004998714000066684,3.745848060841896e-05,1.0986261108497447e-06,-1.2097220527399092e-08,4.503451626012447e-08,-1.4718116503044867e-08
14.0,0.005037394999817479,3.745848060841896e-05,1.700780036193282e-07,-6.563006849935664e-09,7.034206566212255e-08,-1.4491259856016917e-08
15.0,0.005637298000237934,-2.432112632157494e-06,2.4762601846253786e-08,-5.604226460247965e-09,6.886626622325267e-10,-1.4094720669927227e-08
16.0,0.0048882579999371956,-2.432112632157494e-06,3.8207461576716615e-07,-5.483180473673755e-09,-2.6087692488793216e-08,-1.409135430915931e-08
17.0,0.004858277000039379,-1.2173934897460117e-05,-6.849448635443975e-07,-3.6269561555932485e-09,-1.4481398854936969e-07,-1.4218095545561715e-08
18.0,0.004472545000226091,-1.2173934897460117e-05,-2.4058822406265654e-07,-6.6904028804692864e-09,-1.1419963297339305e-07,-1.4865782626010996e-08
19.0,0.0058611259996723675,2.7714474820021154e-06,-5.039526773763419e-07,-8.100520775737924e-09,-3.951937910369448e-08,-1.553512106398439e-08
20.0,0.004856804000155535,2.7714474820021154e-06,8.844609658047708e-07,-1.0548120155108433e-08,-2.2597807636443394e-08,-1.572705894249888e-08
21.0,0.004775580000114132,-2.6096410477658214e-05,-9.54394847014377e-07,-6.32430605592954e-09,-2.7207528978908017e-07,-1.5834976580693904e-08
22.0,0.004924043999835703,-2.6096410477658214e-05,-6.12283160642888e-07,-1.1023788275844798e-08,-2.806902651082455e-07,-1.7174687278883384e-08
23.0,0.0049106269998446805,7.887565416614547e-06,-5.481720308757174e-07,-1.4030482496048001e-08,-1.653963830943922e-07,-1.8553052473317495e-08
24.0,0.00506360899998981,7.887565416614547e-06,1.2083702138503503e-07,-1.6806211325132978e-08,5.236809307477121e-08,-1.9390555087320023e-08
25.0,0.005406646000210458,-7.240877016865758e-07,2.007352088758046e-07,-1.6152888326784232e-08,5.315618234559325e-08,-1.9107419346358662e-08
26.0,0.005043387000114308,-7.240877016865758e-07,3.2205983115113194e-07,-1.514050298387477e-08,4.4602122183248455e-08,-1.8839332147341193e-08
27.0,0.004849871000260464,-7.001223604593912e-06,-1.7769095236339493e-07,-1.3578554348426113e-08,-2.3634539834708116e-08,-1.8623017608414584e-08
28.0,0.0049501250000503205,-7.001223604593912e-06,-3.421141830124034e-07,-1.4458146774002904e-08,-9.295809763262767e-08,-1.874001153491506e-08
29.0,0.0050388879999445635,7.1809684467795274e-06,-9.77792425916079e-07,-1.6182021825394944e-08,-4.173929881618005e-07,-1.920841697757378e-08
30.0,0.004895258000033209,7.1809684467795274e-06,-3.5592160277227886e-07,-2.096856802073251e-08,-1.7120898633055978e-07,-2.12516633420306e-08
31.0,0.004527530999894225,5.372519366497677e-06,1.0624917219206428e-06,-2.2580014110816042e-08,4.5072146283346116e-07,-2.2026817335102676e-08
32.0,0.005390243999954691,5.372519366497677e-06,6.202110598381473e-07,-1.685292448173177e-08,6.187785545409405e-07,-1.959731867441381e-08
33.0,0.004597122000177478,5.328982681374706e-06,1.6217626042934712e-06,-1.4001738573796432e-08,6.611791558136241e-07,-1.675271816809563e-08
34.0,0.004905602000235376,5.328982681374706e-06,6.67602351489466e-07,-6.046016698267446e-09,7.11389161466538e-07,-1.350923637882238e-08
35.0,0.005633482000121148,6.3808960471793464e-06,1.1909607825896698e-06,-2.285090867912987e-09,5.309313142159994e-07,-9.50163834261936e-09
