seq,in_size_b,out_size_b,recv_timestamp,process_time,send_timestamp
0.0,122.0,72.0,1602836232.0624025,0.002279520034790039,1602836232.064682
1.0,122.0,72.0,1602836232.0737162,0.0002715587615966797,1602836232.0739877
2.0,122.0,72.0,1602836232.0852792,0.00026917457580566406,1602836232.0855484
3.0,122.0,72.0,1602836232.096658,0.0002932548522949219,1602836232.0969512
4.0,122.0,72.0,1602836232.1080348,0.0003101825714111328,1602836232.108345
5.0,122.0,72.0,1602836232.1196156,0.00033211708068847656,1602836232.1199477
6.0,122.0,72.0,1602836232.1316657,0.00044155120849609375,1602836232.1321073
7.0,122.0,72.0,1602836232.1442122,0.000698089599609375,1602836232.1449103
8.0,122.0,72.0,1602836232.1567059,0.0006632804870605469,1602836232.1573691
9.0,122.0,72.0,1602836232.169282,0.0006937980651855469,1602836232.1699758
10.0,122.0,72.0,1602836232.182147,0.0006620883941650391,1602836232.182809
11.0,122.0,72.0,1602836232.1949928,0.0006699562072753906,1602836232.1956627
12.0,122.0,72.0,1602836232.2076325,0.0006341934204101562,1602836232.2082667
13.0,122.0,72.0,1602836232.220182,0.0006721019744873047,1602836232.220854
14.0,122.0,72.0,1602836232.232721,0.0006699562072753906,1602836232.233391
15.0,122.0,72.0,1602836232.24579,0.0006704330444335938,1602836232.2464604
16.0,122.0,72.0,1602836232.2585275,0.00066375732421875,1602836232.2591913
17.0,122.0,72.0,1602836232.271245,0.0006937980651855469,1602836232.2719388
18.0,122.0,72.0,1602836232.2839122,0.00067138671875,1602836232.2845836
19.0,122.0,72.0,1602836232.2964697,0.0006680488586425781,1602836232.2971377
20.0,122.0,72.0,1602836232.3091874,0.0006692409515380859,1602836232.3098567
21.0,122.0,72.0,1602836232.321978,0.0006659030914306641,1602836232.322644
22.0,122.0,72.0,1602836232.334764,0.0006682872772216797,1602836232.3354323
23.0,122.0,72.0,1602836232.3474374,0.0006814002990722656,1602836232.3481188
24.0,122.0,72.0,1602836232.359908,0.0006732940673828125,1602836232.3605814
25.0,122.0,72.0,1602836232.3725297,0.0006530284881591797,1602836232.3731828
26.0,122.0,72.0,1602836232.3852775,0.0006697177886962891,1602836232.3859472
27.0,122.0,72.0,1602836232.398025,0.0006508827209472656,1602836232.398676
28.0,122.0,72.0,1602836232.4105515,0.0006687641143798828,1602836232.4112203
29.0,122.0,72.0,1602836232.422961,0.0006916522979736328,1602836232.4236526
30.0,122.0,72.0,1602836232.435421,0.00067138671875,1602836232.4360924
31.0,122.0,72.0,1602836232.4482,0.0006692409515380859,1602836232.4488692
32.0,122.0,72.0,1602836232.4608207,0.0006954669952392578,1602836232.4615161
33.0,122.0,72.0,1602836232.4732556,0.0006947517395019531,1602836232.4739504
34.0,122.0,72.0,1602836232.4862423,0.0006659030914306641,1602836232.4869082
35.0,122.0,72.0,1602836232.499004,0.00067138671875,1602836232.4996753
36.0,122.0,72.0,1602836232.5117815,0.0006697177886962891,1602836232.5124512
37.0,122.0,72.0,1602836232.5245528,0.0007023811340332031,1602836232.5252552
38.0,122.0,72.0,1602836232.5372171,0.0006551742553710938,1602836232.5378723
39.0,122.0,72.0,1602836232.549765,0.0006885528564453125,1602836232.5504537
40.0,122.0,72.0,1602836232.5625331,0.0006723403930664062,1602836232.5632055
41.0,122.0,72.0,1602836232.5753272,0.0006666183471679688,1602836232.5759938
42.0,122.0,72.0,1602836232.5880759,0.00067138671875,1602836232.5887473
43.0,122.0,72.0,1602836232.600743,0.0006918907165527344,1602836232.601435
44.0,122.0,72.0,1602836232.6133006,0.0006732940673828125,1602836232.6139739
45.0,122.0,72.0,1602836232.6258717,0.0006668567657470703,1602836232.6265385
46.0,122.0,72.0,1602836232.6386483,0.0006215572357177734,1602836232.6392698
47.0,122.0,72.0,1602836232.6513824,0.0006704330444335938,1602836232.6520529
48.0,122.0,72.0,1602836232.6640418,0.0006923675537109375,1602836232.6647341
49.0,122.0,72.0,1602836232.676572,0.0006537437438964844,1602836232.6772258
50.0,122.0,72.0,1602836232.6891994,0.0006566047668457031,1602836232.689856
51.0,122.0,72.0,1602836232.7020042,0.0006682872772216797,1602836232.7026725
52.0,122.0,72.0,1602836232.7147572,0.0006699562072753906,1602836232.7154272
53.0,122.0,72.0,1602836232.72743,0.0007271766662597656,1602836232.7281573
54.0,122.0,72.0,1602836232.739887,0.0006744861602783203,1602836232.7405615
55.0,122.0,72.0,1602836232.7529302,0.0006692409515380859,1602836232.7535994
56.0,122.0,72.0,1602836232.765631,0.0006766319274902344,1602836232.7663076
57.0,122.0,72.0,1602836232.7783794,0.0006725788116455078,1602836232.779052
58.0,122.0,72.0,1602836232.790839,0.000698089599609375,1602836232.791537
59.0,122.0,72.0,1602836232.8033113,0.0006723403930664062,1602836232.8039837
60.0,122.0,72.0,1602836232.8158813,0.0006206035614013672,1602836232.8165019
61.0,122.0,72.0,1602836232.828648,0.0006365776062011719,1602836232.8292847
62.0,122.0,72.0,1602836232.8413763,0.0006420612335205078,1602836232.8420184
63.0,122.0,72.0,1602836232.8540308,0.0006432533264160156,1602836232.854674
64.0,122.0,72.0,1602836232.8667352,0.0006198883056640625,1602836232.867355
65.0,122.0,72.0,1602836232.8790433,0.0005438327789306641,1602836232.8795872
66.0,122.0,72.0,1602836232.8913987,0.0005629062652587891,1602836232.8919616
67.0,122.0,72.0,1602836232.9036624,0.0005707740783691406,1602836232.9042332
68.0,122.0,72.0,1602836232.9162815,0.0005977153778076172,1602836232.9168792
69.0,122.0,72.0,1602836232.9291,0.0005950927734375,1602836232.9296951
70.0,122.0,72.0,1602836232.9418697,0.000614166259765625,1602836232.942484
71.0,122.0,72.0,1602836232.954626,0.0006229877471923828,1602836232.955249
72.0,122.0,72.0,1602836232.9670932,0.0005941390991210938,1602836232.9676874
73.0,122.0,72.0,1602836232.9795446,0.0006153583526611328,1602836232.98016
74.0,122.0,72.0,1602836232.9922996,0.0005948543548583984,1602836232.9928944
75.0,122.0,72.0,1602836233.0050595,0.0005955696105957031,1602836233.005655
76.0,122.0,72.0,1602836233.0177472,0.0005154609680175781,1602836233.0182626
77.0,122.0,72.0,1602836233.030727,0.0006203651428222656,1602836233.0313473
78.0,122.0,72.0,1602836233.043281,0.0005965232849121094,1602836233.0438776
79.0,122.0,72.0,1602836233.0558465,0.0005939006805419922,1602836233.0564404
80.0,122.0,72.0,1602836233.0685976,0.0005950927734375,1602836233.0691926
81.0,122.0,72.0,1602836233.0813777,0.0006103515625,1602836233.081988
82.0,122.0,72.0,1602836233.0939999,0.0005984306335449219,1602836233.0945983
83.0,122.0,72.0,1602836233.1064487,0.0005967617034912109,1602836233.1070454
84.0,122.0,72.0,1602836233.1192048,0.0005972385406494141,1602836233.119802
85.0,122.0,72.0,1602836233.1318612,0.0006175041198730469,1602836233.1324787
86.0,122.0,72.0,1602836233.1445801,0.0006275177001953125,1602836233.1452076
87.0,122.0,72.0,1602836233.157224,0.0005970001220703125,1602836233.157821
88.0,122.0,72.0,1602836233.1698081,0.0005974769592285156,1602836233.1704056
89.0,122.0,72.0,1602836233.1825354,0.0005941390991210938,1602836233.1831295
