seq,send_timestamp,out_size_b,recv_timestamp,in_size_b
0.0,1603319486.1296887,122.0,1603319486.1356728,72.0
1.0,1603319486.1546216,122.0,1603319486.1556199,72.0
2.0,1603319486.185539,122.0,1603319486.1865375,72.0
3.0,1603319486.215459,122.0,1603319486.2174544,72.0
4.0,1603319486.2463765,122.0,1603319486.2483716,72.0
5.0,1603319486.2772942,122.0,1603319486.2782924,72.0
6.0,1603319486.3092089,122.0,1603319486.3102067,72.0
7.0,1603319486.3401577,122.0,1603319486.3421214,72.0
8.0,1603319486.3720405,122.0,1603319486.3740363,72.0
9.0,1603319486.402958,122.0,1603319486.4039564,72.0
10.0,1603319486.4329324,122.0,1603319486.4338763,72.0
11.0,1603319486.4647927,122.0,1603319486.4657907,72.0
12.0,1603319486.496741,122.0,1603319486.497706,72.0
13.0,1603319486.5276258,122.0,1603319486.5286226,72.0
14.0,1603319486.558542,122.0,1603319486.5595407,72.0
15.0,1603319486.5894594,122.0,1603319486.590458,72.0
16.0,1603319486.6213741,122.0,1603319486.6223729,72.0
17.0,1603319486.6522915,122.0,1603319486.6542869,72.0
18.0,1603319486.6842062,122.0,1603319486.6862004,72.0
19.0,1603319486.7151232,122.0,1603319486.7161217,72.0
20.0,1603319486.7460406,122.0,1603319486.7470393,72.0
21.0,1603319486.7779553,122.0,1603319486.7799504,72.0
22.0,1603319486.8078754,122.0,1603319486.8108668,72.0
23.0,1603319486.8397906,122.0,1603319486.8417857,72.0
24.0,1603319486.870708,122.0,1603319486.8727028,72.0
25.0,1603319486.9016252,122.0,1603319486.90362,72.0
26.0,1603319486.93354,122.0,1603319486.9345381,72.0
27.0,1603319486.9654546,122.0,1603319486.9664528,72.0
28.0,1603319486.9963717,122.0,1603319486.9973693,72.0
29.0,1603319487.0282862,122.0,1603319487.0292847,72.0
30.0,1603319487.0602007,122.0,1603319487.0641906,72.0
31.0,1603319487.0921154,122.0,1603319487.0931137,72.0
32.0,1603319487.123033,122.0,1603319487.124031,72.0
33.0,1603319487.1539507,122.0,1603319487.1559453,72.0
34.0,1603319487.185865,122.0,1603319487.186863,72.0
